BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC2,SECNUM21,SSNUM21,SECSSNUM21,DT,CC,FR,SEC,SS,NUTS3_13,NUTS2_13,NUTS1_13,SUBSECCAO,N_EDIFICIO,N_EDIFIC_1,N_EDIFIC_2,N_EDIFIC_3,N_EDIFIC_4,N_EDIFIC_5,N_EDIFIC_6,N_EDIFIC_7,N_EDIFIC_8,N_EDIFIC_9,N_EDIFI_10,N_EDIFI_11,N_ALOJAMEN,N_ALOJAM_1,N_ALOJAM_2,N_ALOJAM_3,N_RHABITUA,N_RHABIT_1,N_RHABIT_2,N_RHABIT_3,N_AGREGADO,N_ADP_1_OU,N_ADP_3_OU,N_NUCLEOS_,N_NUCLEOS1,N_INDIVIDU,N_INDIVI_1,N_INDIVI_2,N_INDIVI_3,N_INDIVI_4,N_INDIVI_5,N_INDIVI_6,N_IND_ENSI,N_IND_EN_1,N_IND_EN_2,N_IND_EMPR,N_IND_REFO,svf_stdev,svf_min,svf_max,svf_varian,OBJECTID_1,BGRI2021_1,FREQUENCY,MEAN_altura,STD_altura,Shape_Length,Shape_Area,MBV,HVC,svf_mean
11151701006,11,1115,111517,111517010,010,06,01006,11,15,17,010,06,170,17,1,11151701006,12,7,5,11,6,6,5,7,0,0,0,11,43,43,33,10,4,1,15,17,33,25,8,20,8,70,26,44,13,3,37,17,31,21,9,27,17,0.261173025979999,-0.234817981719971,0.998417019844055,0.068211349499549,748,11151701006,21,9.637142857142859,4.618473928536507,354.773686376598562,6283.673365535473749,1301.269086962632400,0.479236844052113,0.536330040690115
11151701908,11,1115,111517,111517019,019,08,01908,11,15,17,019,08,170,17,1,11151701908,13,1,12,11,1,12,1,7,3,0,2,4,123,123,79,44,35,35,51,23,79,49,30,49,23,180,89,91,17,20,98,45,67,44,51,73,43,0.278041477751761,-0.309161901473999,0.999061048030853,0.077307063350383,797,11151701908,20,12.880500000000001,5.683889953192272,372.285214671824974,8359.177440714418481,3307.749021125018771,0.441278673435990,0.516501700166989
11151701007,11,1115,111517,111517010,010,07,01007,11,15,17,010,07,170,17,1,11151701007,38,2,36,36,2,36,3,34,1,0,0,36,240,240,198,42,13,7,81,105,198,127,71,114,56,445,222,223,57,38,249,101,180,128,78,200,97,0.287138417322635,-0.311636894941330,0.998716950416565,0.082448470702548,749,11151701007,44,13.066590909090905,3.469772422791145,594.759298179249072,15309.191007718125547,2036.638213413138828,0.265545347438489,0.570751760155534
11151702302,11,1115,111517,111517023,023,02,02302,11,15,17,023,02,170,17,1,11151702302,24,0,24,24,0,24,0,24,0,0,0,9,193,193,154,39,17,0,80,61,154,112,42,84,35,303,129,174,32,23,149,99,153,84,40,118,97,0.268849395683443,-0.240328565239906,0.999783456325531,0.072279997559353,811,11151702302,26,15.252307692307690,1.215589758733784,544.241478076619842,14323.122735881685003,2428.153835630325830,0.079698743511898,0.549231282015956
11151700301,11,1115,111517,111517003,003,01,00301,11,15,17,003,01,170,17,1,11151700301,24,1,23,22,0,24,0,16,7,1,0,6,128,128,107,21,17,30,69,31,107,73,34,62,24,231,104,127,22,20,115,74,104,53,49,84,74,0.269597585158793,-0.208235591650009,0.996212124824524,0.072682857923453,704,11151700301,24,14.274999999999993,2.347859339539080,395.381345652421601,7031.008593325696893,2193.216739921660974,0.164473508899410,0.534897167558039
11151700401,11,1115,111517,111517004,004,01,00401,11,15,17,004,01,170,17,1,11151700401,21,2,19,21,4,17,0,20,1,0,0,7,123,123,104,19,12,3,47,50,104,70,34,66,28,226,99,127,25,23,108,70,117,65,24,87,67,0.275388075913425,-0.223271533846855,0.998764991760254,0.075838592355298,709,11151700401,20,13.777500000000000,1.863496642562606,319.525741172971152,6039.360686300505222,2057.777165294904080,0.135256515518970,0.584057653487514
11151700402,11,1115,111517,111517004,004,02,00402,11,15,17,004,02,170,17,1,11151700402,16,0,16,13,0,16,0,10,6,0,0,6,85,85,74,11,21,23,46,26,74,47,27,52,26,183,90,93,27,23,94,39,65,45,48,83,38,0.259548055077131,-0.270605802536011,0.998820841312408,0.067365192894322,710,11151700402,17,14.372941176470581,1.986069499998309,444.460387434388679,7677.978469272745315,3934.713524607271211,0.138181147171856,0.500475950169906
11151302304,11,1115,111513,111513023,023,04,02304,11,15,13,023,04,170,17,1,11151302304,2,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,103,30,73,0,0,16,87,95,2,2,0,77,0.256664194173952,-0.385200411081314,0.995256483554840,0.065876508570964,171,11151302304,2,7.560000000000002,3.662813126546321,711.908128101290345,24116.848762270015868,7923.464582699290077,0.484499090813005,0.590353189591850
11151401803,11,1115,111514,111514018,018,03,01803,11,15,14,018,03,170,17,1,11151401803,8,0,8,6,0,8,0,0,8,0,0,5,219,219,189,30,153,21,152,22,189,122,67,129,57,425,198,227,44,41,259,81,155,118,113,210,86,0.240702939849354,-0.327468484640121,0.997561454772949,0.057937905252122,302,11151401803,9,30.773333333333337,11.532995057659567,1399.155299421950076,46239.600315338953806,8107.568573932658182,0.374772369724639,0.691171365379949
11151302802,11,1115,111513,111513028,028,02,02802,11,15,13,028,02,170,17,1,11151302802,18,0,18,18,0,18,0,13,0,4,1,10,156,156,134,22,43,55,96,30,134,88,46,90,40,310,145,165,45,27,162,76,125,64,78,141,74,0.262315732145326,-0.314804732799530,0.992334902286530,0.068809543330938,194,11151302802,17,17.927058823529407,6.570878712837690,512.016182883858050,14201.498951345010937,4030.709604416666480,0.366534119038721,0.539452643814389
11151302602,11,1115,111513,111513026,026,02,02602,11,15,13,026,02,170,17,1,11151302602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230161297701945,-0.115293182432652,0.993528902530670,0.052974222959844,184,11151302602,6,8.791666666666670,1.152326631935001,285.638711021861070,4943.221517412543108,1132.467171653627929,0.131070327803033,0.587458678752485
11151302501,11,1115,111513,111513025,025,01,02501,11,15,13,025,01,170,17,1,11151302501,20,0,20,16,0,20,0,20,0,0,0,20,179,179,153,26,4,0,97,47,153,106,47,100,38,340,156,184,34,33,150,123,192,62,48,103,114,0.265081817086016,-0.390044003725052,0.995758235454559,0.070268369749624,178,11151302501,25,14.636000000000003,5.432451871239480,517.983845862472435,13229.109788483625380,2522.356166986630342,0.371170529600948,0.537455449241457
11151302603,11,1115,111513,111513026,026,03,02603,11,15,13,026,03,170,17,1,11151302603,16,0,16,16,0,16,0,16,0,0,0,4,159,159,137,22,3,0,85,35,137,104,33,79,38,278,124,154,36,21,136,85,115,78,47,112,82,0.283904510426461,-0.297771632671356,0.994211614131927,0.080601771040488,185,11151302603,16,16.635624999999994,0.643552315925698,595.761926781121701,8413.669696949755235,2825.307906393303256,0.038685190122144,0.536092272375691
11151301401,11,1115,111513,111513014,014,01,01401,11,15,13,014,01,170,17,1,11151301401,51,36,15,45,36,15,0,36,13,0,2,44,111,111,83,28,11,24,35,44,83,46,37,58,37,211,99,112,34,39,106,32,125,45,8,76,33,0.272313013515713,-0.331468492746353,0.998752474784851,0.074154377330009,138,11151301401,27,9.181851851851858,1.985410318058751,582.497191865194509,12412.480961535684401,1007.499823298338583,0.216232013987279,0.590956464175820
11151700711,11,1115,111517,111517007,007,11,00711,11,15,17,007,11,170,17,1,11151700711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251910131652820,-0.382497549057007,0.999766051769257,0.063458714429341,730,11151700711,42,5.388095238095241,2.584615117920200,2630.148302508910547,255749.088278249284485,10216.634970836930734,0.479689946763802,0.739262470336092
11151301703,11,1115,111513,111513017,017,03,01703,11,15,13,017,03,170,17,1,11151301703,30,1,29,28,4,26,0,29,0,1,0,18,198,198,168,30,15,10,83,76,168,111,57,108,55,386,167,219,60,37,203,86,188,76,54,160,85,0.254394263287048,-0.315596550703049,0.999264955520630,0.064716441193360,151,11151301703,34,13.992647058823529,2.472808866418828,519.553023439248364,13943.289672153394349,2117.370830771942565,0.176722020931666,0.600057485937303
11151701903,11,1115,111517,111517019,019,03,01903,11,15,17,019,03,170,17,1,11151701903,10,0,10,8,0,10,0,0,10,0,0,7,172,172,154,18,69,0,117,25,154,92,62,114,52,378,180,198,44,39,208,87,123,103,115,176,92,0.245163818057253,-0.421395599842072,0.996096253395081,0.060105297684410,792,11151701903,10,22.166000000000004,9.351787945509560,591.164898683896240,11489.165465641070114,4804.406513074862232,0.421897859131533,0.517333823761714
11151301502,11,1115,111513,111513015,015,02,01502,11,15,13,015,02,170,17,1,11151301502,12,0,12,7,0,12,0,12,0,0,0,1,193,193,163,30,63,5,98,51,163,119,44,98,42,336,143,193,37,31,159,109,160,83,53,138,106,0.252502054761425,-0.400168538093567,0.999364793300629,0.063757287658741,142,11151301502,17,21.788235294117641,10.323872962274212,701.602539879537062,15746.558953121728337,4632.955164810084170,0.473827862739367,0.560676011784985
11151301902,11,1115,111513,111513019,019,02,01902,11,15,13,019,02,170,17,1,11151301902,14,0,14,9,0,14,0,13,1,0,0,5,271,271,226,45,27,3,115,93,226,164,62,127,55,456,196,260,51,38,238,129,196,108,95,197,126,0.255381145234040,-0.418039977550507,0.992064297199249,0.065219529341050,154,11151301902,17,24.429411764705886,8.376142064360716,390.471921688147972,8452.203613759738801,4763.046756233966335,0.342871213807205,0.436374650228868
11151701603,11,1115,111517,111517016,016,03,01603,11,15,17,016,03,170,17,1,11151701603,33,6,27,33,12,21,0,32,0,1,0,9,201,201,159,42,25,14,103,46,159,115,44,110,37,338,148,190,27,29,176,106,140,102,63,150,98,0.287945359330451,-0.342785507440567,0.999881207942963,0.082912529959942,779,11151701603,46,11.523913043478260,5.337947370066876,1130.411514533900800,31971.553527862673945,1967.229740381890679,0.463206147940155,0.539570807951918
11151701209,11,1115,111517,111517012,012,09,01209,11,15,17,012,09,170,17,1,11151701209,3,0,3,3,0,3,0,0,3,0,0,0,52,52,48,4,40,28,38,4,48,33,15,34,14,107,48,59,18,7,50,32,28,23,43,47,25,0.232212536609426,-0.345525890588760,0.995400428771973,0.053922662158584,760,11151701209,4,25.747500000000006,0.729309033720720,448.987354013758363,5813.051957738322926,8584.443824107991531,0.028325430963034,0.587994181633957
11151602801,11,1115,111516,111516028,028,01,02801,11,15,16,028,01,170,17,1,11151602801,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,4,1,3,0,0,4,0,2,2,0,3,0,0.243948202680825,-0.290969431400299,0.997619092464447,0.059510725591205,620,11151602801,7,9.277142857142859,4.912069198364764,554.990591366253625,9814.210032723825861,2706.501335390348686,0.529480819041474,0.615489702169079
11151500703,11,1115,111515,111515007,007,03,00703,11,15,15,007,03,170,17,1,11151500703,23,0,23,20,0,23,11,12,0,0,0,8,191,191,160,31,3,1,69,79,160,112,48,104,47,349,152,197,50,33,175,91,155,81,62,147,92,0.284759224360781,-0.245497554540634,0.997867882251740,0.081087815858554,355,11151500703,23,15.822173913043471,0.959478819330100,414.345032040683748,10252.182099294850559,2793.995941328832942,0.060641402667122,0.546949258822837
11151701101,11,1115,111517,111517011,011,01,01101,11,15,17,011,01,170,17,1,11151701101,11,1,10,10,0,11,2,8,0,1,0,7,62,62,50,12,9,8,15,31,50,32,18,29,14,113,59,54,13,10,65,25,44,25,32,51,26,0.279473910108484,-0.197839319705963,0.990352094173431,0.078105666431325,750,11151701101,13,14.629999999999997,1.355808491884700,284.003129106797417,4586.234710824743161,2695.575657908812445,0.092673171010574,0.524854863325573
11151500704,11,1115,111515,111515007,007,04,00704,11,15,15,007,04,170,17,1,11151500704,38,0,38,37,0,38,3,34,0,1,0,13,355,355,299,56,31,1,142,140,299,205,94,179,87,643,278,365,76,71,318,178,294,175,95,276,163,0.267351303884114,-0.326698154211044,0.998101234436035,0.071476719688536,356,11151500704,46,15.455434782608682,4.099301136384503,772.120542836152936,21891.287539239205216,2551.088045686900386,0.265233634255134,0.543707387940495
11151501203,11,1115,111515,111515012,012,03,01203,11,15,15,012,03,170,17,1,11151501203,25,0,25,25,0,25,0,25,0,0,0,17,171,171,141,30,3,4,55,77,141,100,41,80,41,290,138,152,30,42,139,79,137,87,37,121,70,0.275089169047837,-0.284994155168533,0.998999595642090,0.075674050927430,395,11151501203,25,10.938400000000000,3.774993024276117,626.932774433139571,13609.968492832840639,1432.053341033484912,0.345113821425082,0.631685029199820
11151701604,11,1115,111517,111517016,016,04,01604,11,15,17,016,04,170,17,1,11151701604,20,1,18,20,6,14,3,12,3,2,0,1,140,139,117,22,12,12,74,35,117,75,42,86,39,278,134,144,28,26,139,85,121,61,56,107,77,0.264852636037226,-0.317318946123123,0.999053835868835,0.070146918815867,780,11151701604,24,13.504583333333331,4.336212512005766,487.615711314441626,12948.241229350551293,2733.384056226773737,0.321091914128347,0.575667261563083
11151302403,11,1115,111513,111513024,024,03,02403,11,15,13,024,03,170,17,1,11151302403,6,0,6,5,0,6,0,6,0,0,0,3,61,61,47,14,3,7,24,18,47,33,14,26,11,93,43,50,11,10,47,25,31,32,17,47,24,0.266815465868973,-0.305172652006149,0.997730851173401,0.071190492826877,176,11151302403,7,16.307142857142860,1.550115203092059,640.345099613524098,9056.662412058518385,4064.638407923510840,0.095057436895702,0.602841985974045
11151602303,11,1115,111516,111516023,023,03,02303,11,15,16,023,03,170,17,1,11151602303,19,2,17,18,2,17,0,15,2,2,0,1,184,184,151,33,41,27,106,34,151,116,35,91,37,299,139,160,38,24,151,86,129,74,64,132,84,0.294508601383723,-0.385190278291702,0.994096338748932,0.086735316288997,558,11151602303,35,12.644571428571428,7.837215270316195,1352.216937317825113,51469.158838210751128,2269.429740010402384,0.619808691388889,0.482529462785821
11151700902,11,1115,111517,111517009,009,02,00902,11,15,17,009,02,170,17,1,11151700902,9,0,9,7,0,9,0,0,9,0,0,1,138,138,120,18,58,12,93,18,120,87,33,68,24,247,118,129,21,26,133,67,90,67,76,116,61,0.266281925563407,-0.408850610256195,0.995666861534119,0.070906063881756,739,11151700902,9,21.190000000000005,8.595871101872099,454.613649243236750,11066.515757354905872,5491.573852646168234,0.405656965638136,0.526931504923839
11151501405,11,1115,111515,111515014,014,05,01405,11,15,15,014,05,170,17,1,11151501405,6,6,0,6,6,0,0,2,2,2,0,6,6,6,5,1,0,0,5,0,5,1,4,6,4,21,11,10,7,0,12,2,11,2,1,6,0,0.198633213738732,-0.237806513905525,0.998152434825897,0.039455153600177,404,11151501405,2,2.990000000000002,0.565685424949236,1678.147338205674941,138978.628363003284903,157.236710611825515,0.189192449815798,0.783432084027512
11151601903,11,1115,111516,111516019,019,03,01903,11,15,16,019,03,170,17,1,11151601903,8,0,8,8,0,8,0,0,0,8,0,1,94,94,90,4,86,87,78,12,90,26,64,76,52,268,140,128,71,17,166,14,66,66,87,146,15,0.241593227593300,-0.375884592533112,0.997559010982513,0.058367287618948,527,11151601903,8,23.671250000000001,1.185729883718406,472.319170426697497,14296.287882635928327,6128.710380537107085,0.050091561861685,0.640783679501403
11151700706,11,1115,111517,111517007,007,06,00706,11,15,17,007,06,170,17,1,11151700706,12,0,12,12,0,12,0,0,0,12,0,5,140,140,135,5,124,135,116,16,135,58,77,116,82,367,177,190,96,26,235,10,71,66,154,219,9,0.247253142682428,-0.371908456087112,0.998864114284515,0.061134116566337,725,11151700706,12,19.823333333333334,2.230622959596439,811.075161586363038,21163.114996192409308,6099.262249680316927,0.112525119872025,0.540494526716157
11151500201,11,1115,111515,111515002,002,01,00201,11,15,15,002,01,170,17,1,11151500201,5,0,5,4,0,5,0,5,0,0,0,4,85,85,73,12,4,2,40,22,73,55,18,36,16,137,62,75,10,16,67,44,81,38,14,50,45,0.265276123246200,-0.410177469253540,0.997568249702454,0.070371421564533,327,11151500201,5,28.004000000000001,1.229097229677129,236.083494232375074,2716.245972225713558,4898.683791344203200,0.043890059622808,0.480730379402119
11151500908,11,1115,111515,111515009,009,08,00908,11,15,15,009,08,170,17,1,11151500908,6,3,3,6,3,3,2,3,1,0,0,3,17,17,14,3,1,0,8,6,14,7,7,11,5,35,14,21,3,5,15,12,20,11,2,10,11,0.257324113145660,-0.101673521101475,0.999473810195923,0.066215699206200,367,11151500908,7,10.174285714285714,2.914691848451323,178.756242172320640,1809.629497190059510,1480.398591637151185,0.286476311979209,0.595187083247694
11151500909,11,1115,111515,111515009,009,09,00909,11,15,15,009,09,170,17,1,11151500909,10,7,3,9,5,5,2,5,3,0,0,2,21,21,15,6,1,2,12,2,15,12,3,7,3,28,15,13,4,3,12,9,18,4,5,13,8,0.270581842986107,-0.121239490807056,0.999251127243042,0.073214533753758,368,11151500909,11,9.540000000000003,1.759386256624733,179.593778594082380,1768.809954601645813,778.548060779003094,0.184422039478484,0.542250884546036
11151701407,11,1115,111517,111517014,014,07,01407,11,15,17,014,07,170,17,1,11151701407,7,0,7,7,0,7,0,7,0,0,0,0,43,43,38,5,2,1,22,15,38,29,9,24,8,77,38,39,10,6,32,29,26,27,16,24,28,0.264511289357840,-0.240791738033295,0.999836504459381,0.069966222197747,773,11151701407,7,12.968571428571428,1.105643531635585,315.834434545308170,4324.435463216978860,2330.681441581898980,0.085255614909111,0.562234448325873
11151701408,11,1115,111517,111517014,014,08,01408,11,15,17,014,08,170,17,1,11151701408,6,0,6,6,0,6,0,6,0,0,0,0,38,38,27,11,3,0,20,6,27,19,8,16,8,58,28,30,7,8,22,21,27,18,9,22,15,0.266070650286868,-0.275861799716949,0.997981369495392,0.070793590944077,774,11151701408,6,13.334999999999999,1.436868121993107,310.914294364125738,4630.040811278429828,2441.541377701508736,0.107751640194459,0.562267462455530
11151500910,11,1115,111515,111515009,009,10,00910,11,15,15,009,10,170,17,1,11151500910,11,6,5,11,7,4,2,9,0,0,0,6,28,28,21,7,1,0,8,12,21,19,2,8,3,34,11,23,5,3,15,11,17,5,8,15,8,0.256719551993102,-0.068024761974812,0.998492121696472,0.065904928375539,369,11151500910,11,9.234545454545454,2.596803279558787,179.217952763757069,1827.360698990761193,776.166790988317643,0.281205316746866,0.553694272891207
11151701201,11,1115,111517,111517012,012,01,01201,11,15,17,012,01,170,17,1,11151701201,6,0,6,5,0,6,0,6,0,0,0,2,42,42,39,3,2,0,23,14,39,28,11,20,5,78,36,42,5,3,41,29,35,16,23,34,25,0.295839972092891,-0.233824446797371,0.998513579368591,0.087521289087923,752,11151701201,7,12.181428571428560,4.109097340338985,311.575891873671424,4957.686438329194971,2328.634506354207588,0.337324749412137,0.489601328894920
11151500911,11,1115,111515,111515009,009,11,00911,11,15,15,009,11,170,17,1,11151500911,13,9,4,13,9,4,7,5,1,0,0,5,22,22,21,1,3,4,10,10,21,15,6,12,6,43,15,28,3,5,25,10,15,18,7,22,10,0.255751998758428,-0.219789534807205,0.999296069145203,0.065409084868931,370,11151500911,13,8.420000000000000,2.413866193474692,175.606473181343091,1716.088934046786562,600.980611921072978,0.286682445780842,0.576523636780418
11151300304,11,1115,111513,111513003,003,04,00304,11,15,13,003,04,170,17,1,11151300304,51,26,25,48,27,24,0,17,34,0,0,40,318,318,267,51,182,72,193,46,267,154,113,201,103,649,285,364,90,86,357,116,253,182,143,290,123,0.306533170118172,-0.395231783390045,0.999030828475952,0.093962584382696,92,11151300304,63,11.779206349206351,7.714914399957314,1233.995987958009209,53217.919960923121835,2412.126264851483484,0.654960459239864,0.595192869021902
11151300305,11,1115,111513,111513003,003,05,00305,11,15,13,003,05,170,17,1,11151300305,17,11,6,17,10,7,0,12,5,0,0,17,36,36,26,10,6,4,11,9,26,14,12,20,14,66,29,37,12,13,31,10,40,8,2,24,8,0.268630003491771,-0.251446336507797,0.999075889587402,0.072162078775989,93,11151300305,19,6.841578947368420,3.390927869015428,388.677386742005069,6904.959201472413042,649.238752333498610,0.495635275877322,0.581922286982918
11151300207,11,1115,111513,111513002,002,07,00207,11,15,13,002,07,170,17,1,11151300207,14,0,14,13,0,14,0,14,0,0,0,11,100,100,80,20,2,2,41,37,80,61,19,48,23,163,74,89,18,16,89,40,79,45,22,63,41,0.280995909972885,-0.279370665550232,0.999893665313721,0.078958701421490,88,11151300207,17,11.919999999999996,2.368068833459028,363.350250277751115,7313.030658791167298,1872.299346236722158,0.198663492739851,0.551797356321698
11151701406,11,1115,111517,111517014,014,06,01406,11,15,17,014,06,170,17,1,11151701406,7,0,7,6,0,7,0,2,5,0,0,0,197,197,161,36,66,14,137,17,161,119,42,110,32,333,151,182,23,23,184,103,122,92,102,154,102,0.295642403551410,-0.468669950962067,0.999765217304230,0.087404430777655,772,11151701406,24,15.251249999999997,12.946285454338531,815.314419489417787,34922.762693818105618,3776.914481608142978,0.848867171827787,0.564271314983306
11151500901,11,1115,111515,111515009,009,01,00901,11,15,15,009,01,170,17,1,11151500901,30,20,10,29,26,4,0,23,2,0,5,6,78,78,62,16,12,2,25,33,62,48,14,36,17,121,55,66,17,9,55,40,50,41,13,51,36,0.258895277838950,-0.269978314638138,0.995854616165161,0.067026764887307,360,11151500901,36,7.142777777777777,3.980291167462220,334.518848497423392,6436.174807758064162,675.718021820191780,0.557246955077545,0.592045809440346
11151702202,11,1115,111517,111517022,022,02,02202,11,15,17,022,02,170,17,1,11151702202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257854743317849,-0.385694831609726,0.998665392398834,0.066489068651514,804,11151702202,23,5.542608695652175,2.719188076332053,1433.291659151325803,82268.351467375847278,3448.788292126046144,0.490597158422005,0.698449169915266
11151500902,11,1115,111515,111515009,009,02,00902,11,15,15,009,02,170,17,1,11151500902,28,18,10,28,20,8,13,15,0,0,0,9,80,80,67,13,7,8,18,43,67,50,17,34,16,133,58,75,16,10,72,35,60,26,26,55,37,0.250964523157012,-0.184406042098999,0.998942911624908,0.062983191883426,361,11151500902,32,8.082500000000001,3.637674726986297,330.156494320249635,6317.995037911930012,745.287212412944427,0.450068014474024,0.562672321656299
11151500903,11,1115,111515,111515009,009,03,00903,11,15,15,009,03,170,17,1,11151500903,16,9,7,15,9,7,2,14,0,0,0,4,47,47,42,5,3,1,15,22,42,31,11,28,14,91,33,58,15,10,42,24,48,25,9,41,22,0.256639937682775,-0.121626883745193,0.996777713298798,0.065864057613819,362,11151500903,17,8.801176470588235,3.130718532447748,271.794549821476949,3236.508005759070329,900.541132980901693,0.355715913992860,0.542896329813196
11151301903,11,1115,111513,111513019,019,03,01903,11,15,13,019,03,170,17,1,11151301903,17,5,12,17,7,10,0,17,0,0,0,12,199,199,164,35,27,1,104,57,164,118,46,106,32,343,153,190,28,25,158,132,143,74,89,133,119,0.243896918870936,-0.397017121315002,0.990728199481964,0.059485707034736,155,11151301903,19,20.814210526315787,11.800111259263369,623.564989542041758,14681.378916326728358,3651.509635708388032,0.566925718577905,0.491019766518888
11151303004,11,1115,111513,111513030,030,04,03004,11,15,13,030,04,170,17,1,11151303004,9,0,9,9,0,9,0,9,0,0,0,4,112,112,98,14,12,2,60,29,98,72,26,63,29,203,96,107,22,22,102,57,92,48,42,93,59,0.256188369134339,-0.351228892803192,0.998953580856323,0.065632480479713,206,11151303004,11,18.493636363636373,5.394251148634580,397.084304651251045,7202.789907903647872,3150.901583795033730,0.291681475863837,0.479151315370410
11151303005,11,1115,111513,111513030,030,05,03005,11,15,13,030,05,170,17,1,11151303005,7,2,5,6,0,7,0,7,0,0,0,0,81,81,66,15,8,4,47,17,66,45,21,46,19,148,70,78,19,12,73,44,81,27,29,61,42,0.282644072173000,-0.368361204862595,0.997252106666565,0.079887671534536,207,11151303005,7,20.078571428571429,6.845688250208849,292.257023220581686,3880.641113530335133,3653.181894718861258,0.340944985780590,0.470074410556853
11151303006,11,1115,111513,111513030,030,06,03006,11,15,13,030,06,170,17,1,11151303006,47,44,3,47,32,15,0,40,7,0,0,16,61,61,56,5,30,37,40,5,56,28,28,52,22,159,77,82,18,16,83,42,72,42,25,73,39,0.261094584128240,-0.333006888628006,0.999649345874786,0.068170381861099,208,11151303006,79,9.089367088607590,3.971091157213968,1074.664313580340149,32557.492097050970187,1565.992896208395905,0.436894133387048,0.563332670034695
11151302001,11,1115,111513,111513020,020,01,02001,11,15,13,020,01,170,17,1,11151302001,109,106,3,108,104,5,0,105,4,0,0,109,132,132,116,16,12,4,97,8,116,54,62,98,54,373,196,177,60,54,204,55,234,56,11,142,49,0.244808604483189,-0.323476910591125,0.999536573886871,0.059931252829006,156,11151302001,126,5.113888888888886,2.072929896440195,883.158044964547116,23162.126218280936882,326.412742560954825,0.405352940096942,0.595513853818359
11151302703,11,1115,111513,111513027,027,03,02703,11,15,13,027,03,170,17,1,11151302703,102,29,73,97,30,72,0,96,6,0,0,25,519,519,420,99,17,11,220,175,420,286,134,287,114,941,441,500,118,87,482,254,477,244,98,386,249,0.256125993365650,-0.299505621194839,0.999187052249908,0.065600524477541,192,11151302703,124,10.865161290322584,3.975668780242728,1450.177286079685018,58288.189442918337591,1612.632924916586262,0.365909780261043,0.594460210559575
